Name of kata,Completed language,Completed Date
Product of Largest Pair,['python'],2026-02-10
First Fibonacci,['python'],2026-02-10
Only one,['python'],2026-02-10
Day of the Year,['python'],2026-02-09
Sum of Array Averages,['python'],2026-02-09
Populate hash with array keys and default value,['python'],2026-02-09
Person Class Bug,['python'],2026-02-09
Invalid Login - Bug Fixing #11,['python'],2026-02-09
lucky number,['python'],2026-02-05
Words to sentence,['python'],2026-02-05
Classy Extensions,['python'],2026-01-17
Building blocks,['python'],2026-01-17
Classy Classes,['python'],2026-01-17
OOP: Object Oriented Piracy ,['python'],2026-01-17
Possibilities Array,['python'],2026-01-17
Calculate mean and concatenate string,['python'],2026-01-17
Are they square?,['python'],2026-01-17
Keep the Order,['python'],2026-01-17
Finding length of the sequence,['python'],2026-01-17
"Sum - Square Even, Root Odd",['python'],2026-01-17
Fizz / Buzz,['python'],2026-01-17
My Language Skills,['python'],2026-01-14
Remove the time,['python'],2026-01-14
Bumps in the Road,['python'],2026-01-14
Grasshopper - Debug,['python'],2026-01-14
Double Trouble,['python'],2026-01-13
How good are you really?,['python'],2026-01-13
Sum of Digits / Digital Root,['python'],2026-01-13
The Office I - Outed,['python'],2026-01-13
Substring fun,['python'],2026-01-11
Move 10,['python'],2026-01-11
Help the Fruit Guy,['python'],2026-01-11
"By 3, or not by 3?  That is the question . . .",['python'],2026-01-11
All Inclusive?,['python'],2026-01-11
Fix the Bugs (Syntax) - My First Kata,['python'],2026-01-09
Exclamation marks series #17: Put the exclamation marks and question marks on the balance - are they balanced?,['python'],2026-01-09
Consecutive items,['python'],2026-01-09
Arithmetic Sequence!,['python'],2026-01-09
Magic Sum of 3s,['python'],2026-01-09
Put a Letter in a Column,['python'],2026-01-09
Find Duplicates ,['python'],2026-01-09
Be Concise IV - Index of an element in an array,['python'],2026-01-09
Semi-Optional,['python'],2026-01-09
Evil or Odious,['python'],2026-01-09
Power,['python'],2026-01-09
Pirates!! Are the Cannons ready!??,['python'],2026-01-09
Unexpected parsing,['python'],2026-01-09
Switch/Case - Bug Fixing #6,['python'],2026-01-09
Draw stairs,['python'],2026-01-09
Smallest unused ID,['python'],2026-01-09
Compare within margin,['python'],2026-01-09
Chuck Norris VII - True or False? (Beginner),['python'],2026-01-09
get ascii value of character,['python'],2026-01-09
Email Address Obfuscator,['python'],2026-01-07
Friendly Pairs I,['python'],2026-01-07
Drunk friend,['python'],2026-01-07
Wise drunk man,['python'],2026-01-06
Lojban Numbers,['python'],2026-01-06
DigitAll,['python'],2026-01-06
Get row from alphabetical sequence,['python'],2026-01-06
Gematria for all,['python'],2026-01-06
Decompose single strand DNA into 3 reading frames,['python'],2026-01-06
Thinkful - Number Drills: Rømer temperature,['python'],2026-01-05
Thinkful - List and Loop Drills: Lists of lists,['python'],2026-01-05
Human Readable Time,['python'],2026-01-05
Count and Group Character Occurrences in a String,['python'],2026-01-05
Triple trouble,['python'],2026-01-05
Twin Prime,['python'],2026-01-05
[BUG] XCOM-409: Flight distance of Interceptor planes is miscalculated,['python'],2026-01-05
Tip Calculator,['python'],2026-01-05
Area of a Polygon (Easy),['python'],2026-01-05
Define a card suit,['python'],2026-01-05
Categorize New Member,['python'],2026-01-03
Row Weights,['python'],2026-01-03
Find the Difference in Age between Oldest and Youngest Family Members,['python'],2026-01-03
Basic Training: Add item to an Array,['python'],2026-01-03
Build a square,['python'],2026-01-03
CSV representation of array,['python'],2026-01-03
Maximum Length Difference,['python'],2025-12-31
Hex to Decimal,['python'],2025-12-31
Sum without highest and lowest number,['python'],2025-12-31
Evens and Odds,['python'],2025-12-31
The Office IV - Find a Meeting Room,['python'],2025-12-31
Triple Trouble,['python'],2025-12-31
Simple Fun #20: First Reverse Try,['python'],2025-12-25
Largest pair sum in array,['python'],2025-12-25
Simple validation of a username with regex,['python'],2025-12-25
Enumerable Magic - Does My List Include This?,['python'],2025-12-25
Geometry Basics: Distance between points in 2D,['python'],2025-12-25
Check for prime numbers,['python'],2025-12-25
Sums of Parts,['python'],2025-12-25
Kata Example Twist,['python'],2025-12-25
The search for Primes! Twin Primes!,['python'],2025-12-25
Prime Primes,['python'],2025-12-25
Help the bookseller !,['python'],2025-12-25
Count the smiley faces!,['python'],2025-12-25
Count characters in your string,['python'],2025-12-25
Reverse and Invert,['python'],2025-12-24
Leaderboard climbers,['python'],2025-12-24
Conference Traveller,['python'],2025-12-24
Enumerable Magic #20 - Cascading Subsets,['python'],2025-12-24
Test's results,['python'],2025-12-24
"99 Problems, #1: last in list",['python'],2025-12-24
Sorting Dictionaries,['python'],2025-12-24
"Head, Tail, Init and Last",['python'],2025-12-24
Split Strings,['python'],2025-12-24
Find the Mine!,['python'],2025-12-24
Find The Parity Outlier,['python'],2025-12-24
Convert string to camel case,['python'],2025-12-24
Playing with digits,['python'],2025-12-24
Find the unique string,['python'],2025-12-24
Find the vowels,['python'],2025-12-23
validate code with simple regex,['python'],2025-12-23
They say that only the name is long enough to attract attention. They also said that only a simple Kata will have someone to solve it. This is a sadly story #1: Are they opposite?,['python'],2025-12-23
Take a Number And Sum  Its Digits Raised To The Consecutive Powers And ....¡Eureka!!,['python'],2025-12-23
Find the stray number,['python'],2025-12-23
Coding 3min : A*B=C,['python'],2025-12-23
Simple Fun #135: Missing Alphabets,['python'],2025-12-23
The unknown but known variables: Addition,['python'],2025-12-23
Bases Everywhere,['python'],2025-12-23
"Begin your day with a challenge, but an easy one.",['python'],2025-12-23
Find array,['python'],2025-12-23
How many pages in a book?,['python'],2025-12-22
Feynman's square question,['python'],2025-12-22
Simple Fun #79: Delete a Digit,['python'],2025-12-22
Sequences and Series,['python'],2025-12-22
Simple Fun #152: Invite More Women?,['python'],2025-12-22
Build Tower,['python'],2025-12-22
"Are they the ""same""?",['python'],2025-12-20
Form The Minimum,['python'],2025-12-20
Unique In Order,['python'],2025-12-20
Lost number in number sequence,['python'],2025-12-19
Simple consecutive pairs,['python'],2025-12-19
Product  Array (Array Series #5),['python'],2025-12-19
Last Survivor,['python'],2025-12-19
Return a string's even characters.,['python'],2025-12-19
Between Extremes,['python'],2025-12-19
+1 Array,['python'],2025-12-19
Prefill an Array,['python'],2025-12-19
Largest Elements,['python'],2025-12-19
Lottery Ticket,['python'],2025-12-19
Matrix Addition,['python'],2025-12-19
Pair of gloves,['python'],2025-12-19
Length of missing array,['python'],2025-12-19
SpeedCode #2 - Array Madness,['python'],2025-12-19
Valid Phone Number,['python'],2025-12-19
Hit Count,['python'],2025-12-18
String average,['python'],2025-12-16
Exclamation marks series #7: Remove words from  the sentence if it contains one exclamation mark ,['python'],2025-12-16
Number to digit tiers,['python'],2025-12-16
Data Reverse,['python'],2025-12-16
Math challenge #2 [Easy],['python'],2025-12-16
Are we alternate?,['python'],2025-12-16
Autocomplete! Yay!,['python'],2025-12-16
Determine if the poker hand is flush,['python'],2025-12-16
Format words into a sentence,['python'],2025-12-16
Complete The  Pattern #1 ,['python'],2025-12-16
Numbers in strings,['python'],2025-12-16
Longest vowel chain,['python'],2025-12-16
Partial Word Searching,['python'],2025-12-16
Round and Round,['python'],2025-12-16
What century is it?,['python'],2025-12-15
Name Array Capping,['python'],2025-12-15
Sum of Odd Cubed Numbers,['python'],2025-12-15
Return the Missing Element,['python'],2025-12-15
Number Of Occurrences,['python'],2025-12-15
Change it up,['python'],2025-12-15
Maximum Triplet Sum (Array Series #7) ,['python'],2025-12-15
Nth Smallest Element (Array Series  #4) ,['python'],2025-12-15
Sort arrays - 1,['python'],2025-12-15
Convert an array of strings to array of numbers,['python'],2025-12-15
Minimize  Sum Of Array (Array Series #1)   ,['python'],2025-12-15
Even numbers in an array,['python'],2025-12-15
Find the missing letter,['python'],2025-12-15
The falling speed of petals,['python'],2025-12-15
16+18=214,['python'],2025-12-15
